Performance BLADE Tri Top,http://www.champ-sys.com.au/custom/triathlon/tops/performance-blade-tri-top.html,performance-blade-tri-top,"<p>Newly designed featuring contoured back panels, rear pockets and flatlock stitch, making premium triathlon garment.</p><br><p><strong>Features</strong>:</p><br><ul><br><li>Fully customizable</li><br><li>Flatlock stitching</li><br><li>Covered rear pockets</li><br><li>Wider shoulders</li><br><li>Available in men&apos;s and women&apos;s cuts</li><br></ul><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p><em>&#xA0;</em></p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p>",
Performance Link Tri Top,http://www.champ-sys.com.au/custom/triathlon/tops/performance-link-tri-top.html,performance-link-tri-top,"<p>The Performance Link tri top is based on our classic design which has been worn to victories in tri events around the world and offers a <span style='color: #ff6600;'>superb fit and classic styling</span>. Available in men&apos;s and women&apos;s cuts.<br></p><p><strong>Features</strong>:<br></p><li>Fully customisable.<br></li><li>Available with pockets ($10 upcharge).<br><br><p>&#xA0;<a href='http://aucustom.champ-sys.com/Login/en-AU/Default.aspx' target='_blank'><img alt='' src='http://www.champ-sys.com.au/media/wysiwyg/Start_Customising_button_1.jpg' height='53' width='169'></a></p>                    </li>",
Performance Sports Bra,http://www.champ-sys.com.au/custom/triathlon/tops/performance-sports-bra.html,performance-sports-bra,"<p>Our Performance Sports Bra is made from CS Contour Lycra and is designed to be the ultimate multipurpose piece for women who demand a technical high-support bra. The best part?&#xA0; It can be fully customized with virtually any design using our digital sublimation printing process.&#xA0;</p><br><p class='MsoNormal'>&#xA0;</p><br><p>&#xA0;</p>",
Apex LINK Tri Top,http://www.champ-sys.com.au/custom/triathlon/tops/apex-link-tri-top.html,apex-link-tri-top,"<p>The CS Apex Link Tri Top is made of our exclusive CS Hydrodry fabric and is fully customizable. It features an elite cut and is available in standard and long lengths. Available in men&apos;s and women&apos;s cuts.</p><br><p><strong>Features</strong>:</p><br><ul><br><li>CS Hydrodry fabric: dry feel, water repellent stretch fabric designed specifically for Champion System. Hydrodry is the first fabric of its kind to have sublimation printing capabilities.</li><br><li>Elite fit</li><br><li>Flatlock Stitching&#xA0;</li><br></ul><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><br><br><b>Please note</b><br>In an effort to offer our customers the most technologically advanced materials, we chose our exclusive HydroDry fabric for our Apex and Elite tri line. This state-of-the-art material features superior compression and water-repellent properties. Due to the technical nature of the HydroDry fabric, the printing may not be as crisp as other non-Apex and Elite garments.",
Apex Weather Lite Jacket,http://www.champ-sys.com.au/custom/triathlon/tops/apexweatherlitejacket.html,apexweatherlitejacket,"<p>APEX WeatherLite Race Jacket is an ultra lightweight, versatile, multi-sport jacket that keeps you protected from the unexpected showers or cold winds. Made with our CS WeatherLite fabric, this jacket is highly wind resistant and breathable. Rain will roll right off the fabric surface because of its DWR (durable water repellence) finish. Extremely light and packable which is ideal for runners and adventure racers who need to move fast and light.</p><br><ul><br><li>Made with CS WeatherLite fabric</li><br><li>Full sublimation printing</li><br><li>Chest pocket for storage, can also be used to stow jacket</li><br><li>Storm hood with Velcro tab adjuster to allow better fit and comfort,it can be folded away when not raining</li><br><li>Elastic cuffs with thumb holes to keep your wrists warm</li><br><li>Single hand adjustable, draw-cord hem prevents weather entry and heat loss</li><br><li>Underarm vents for maximum air flow</li><br><li>Chest strap with snap button to keep the jacket in place while the front zipper is fully opened</li><br><li>Full length YKK front zip with interior storm flap for protection againstwind and rain</li><br><li>Reflective details for safety</li><br></ul>",
Apex BLADE Tri Top,http://www.champ-sys.com.au/custom/triathlon/tops/apex-blade-tri-top.html,apex-blade-tri-top,"<p><span style='font-family: &apos;Arial&apos;,&apos;sans-serif&apos;;'>The Apex Blade Tri Top is designed for triathletes who want more coverage on their upper body.<span>&#xA0; </span>Cut in a sleeveless design, the upper is made of our exclusive CS Hydrodry fabric and features a concealed zipper and covered rear pockets. Great for long distance triathletes.<span>&#xA0; </span>Available in men&#x2019;s and women&#x2019;s cut.</span></p><br><p><strong>Features</strong>:</p><br><ul><br><li>CS Hydrodry fabric: dry feel, water repellent stretch fabric designed specifically for Champion System. Hydrodry is the first fabric of its kind to have sublimation printing capabilities.</li><br><li>Elite fit</li><br><li>Covered rear pockets</li><br><li>Flatlock stitching</li><br><li>Wider shoulders&#xA0;</li><br></ul><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><p>&#xA0;</p><br><br><br><b>Please note</b><br>In an effort to offer our customers the most technologically advanced materials, we chose our exclusive HydroDry fabric for our Apex and Elite tri line. This state-of-the-art material features superior compression and water-repellent properties. Due to the technical nature of the HydroDry fabric, the printing may not be as crisp as other non-Apex and Elite garments.",
